,Rainfall - (MM),Year,Statistics,Country,ISO3,Temperature - (Celsius)
1322,55.2078,2011, Mar Average, United States, USA,0.7449100000000001
1323,60.9045,2011, Apr Average, United States, USA,6.500719999999999
1324,68.7347,2011, May Average, United States, USA,12.2391
1325,61.7101,2011, Jun Average, United States, USA,17.8593
1326,65.3191,2011, Jul Average, United States, USA,21.0577
1327,63.2531,2011, Aug Average, United States, USA,20.0842
1328,56.3247,2011, Sep Average, United States, USA,15.4748
1329,48.5659,2011, Oct Average, United States, USA,8.927760000000001
1330,55.0272,2011, Nov Average, United States, USA,0.27069
1331,52.0984,2011, Dec Average, United States, USA,-2.6951
1332,45.2091,2012, Jan Average, United States, USA,-5.4456
1333,42.0856,2012, Feb Average, United States, USA,-1.4537
1334,54.5437,2012, Mar Average, United States, USA,2.74126
1335,47.1964,2012, Apr Average, United States, USA,8.06429
1336,53.6345,2012, May Average, United States, USA,13.4465
1337,52.7599,2012, Jun Average, United States, USA,18.3685
1338,65.3631,2012, Jul Average, United States, USA,21.3749
1339,60.4901,2012, Aug Average, United States, USA,19.7726
1340,64.6342,2012, Sep Average, United States, USA,15.2347
1341,49.9481,2012, Oct Average, United States, USA,7.8834
1342,32.7749,2012, Nov Average, United States, USA,1.7671599999999998
1343,57.2314,2012, Dec Average, United States, USA,-3.6671
1344,51.3893,2013, Jan Average, United States, USA,-4.1921
1345,43.3208,2013, Feb Average, United States, USA,-3.3945
1346,36.5724,2013, Mar Average, United States, USA,-0.2622
1347,59.1822,2013, Apr Average, United States, USA,4.5695
1348,76.685,2013, May Average, United States, USA,12.2388
1349,74.4441,2013, Jun Average, United States, USA,18.6535
1350,72.8661,2013, Jul Average, United States, USA,20.694000000000003
1351,62.497,2013, Aug Average, United States, USA,19.7371
1352,71.4552,2013, Sep Average, United States, USA,15.6988
1353,57.5449,2013, Oct Average, United States, USA,8.83887
1354,45.8604,2013, Nov Average, United States, USA,0.49859
1355,50.0654,2013, Dec Average, United States, USA,-5.1271
1356,35.9334,2014, Jan Average, United States, USA,-3.6393
1357,44.1704,2014, Feb Average, United States, USA,-4.6473
1358,45.5822,2014, Mar Average, United States, USA,0.21163
1359,58.9449,2014, Apr Average, United States, USA,6.951860000000001
1360,56.7906,2014, May Average, United States, USA,13.3534
1361,87.2467,2014, Jun Average, United States, USA,17.5618
1362,69.0037,2014, Jul Average, United States, USA,19.9679
1363,73.7372,2014, Aug Average, United States, USA,19.5471
1364,63.0291,2014, Sep Average, United States, USA,15.5989
1365,49.6504,2014, Oct Average, United States, USA,9.18773
1366,43.6604,2014, Nov Average, United States, USA,0.48912
1367,56.6344,2014, Dec Average, United States, USA,-1.1944
1368,41.7446,2015, Jan Average, United States, USA,-4.1873
1369,39.1029,2015, Feb Average, United States, USA,-3.4854
1370,42.4868,2015, Mar Average, United States, USA,2.29089
1371,60.7797,2015, Apr Average, United States, USA,7.63324
1372,79.9194,2015, May Average, United States, USA,13.5595
1373,74.8854,2015, Jun Average, United States, USA,18.8966
1374,79.2859,2015, Jul Average, United States, USA,20.544
1375,69.0451,2015, Aug Average, United States, USA,19.3882
1376,62.1173,2015, Sep Average, United States, USA,16.0393
1377,63.3306,2015, Oct Average, United States, USA,10.1446
1378,73.3146,2015, Nov Average, United States, USA,2.38001
1379,75.5786,2015, Dec Average, United States, USA,-1.4286
1380,43.6511,2016, Jan Average, United States, USA,-2.9203
1381,39.3315,2016, Feb Average, United States, USA,0.00595
1382,57.8384,2016, Mar Average, United States, USA,3.66085
1383,62.4738,2016, Apr Average, United States, USA,8.36253
1384,62.6488,2016, May Average, United States, USA,13.3068
1385,58.424,2016, Jun Average, United States, USA,19.0591
1386,75.4868,2016, Jul Average, United States, USA,21.195999999999998
1387,76.3893,2016, Aug Average, United States, USA,20.1812
1388,65.7572,2016, Sep Average, United States, USA,16.015
1389,46.5429,2016, Oct Average, United States, USA,10.1893
1390,40.0601,2016, Nov Average, United States, USA,3.36611
1391,56.1632,2016, Dec Average, United States, USA,-4.0525
